service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
35601,1,1,1,1,1,0,0,20110110,20110331
35602,1,1,1,1,0,0,0,20110110,20110331
35603,0,1,1,1,1,0,0,20110110,20110331
35604,0,1,1,1,1,0,0,20110110,20110331
35605,0,0,0,0,1,0,0,20110110,20110331
35606,0,0,0,0,0,1,0,20110110,20110331
35607,0,0,0,0,0,1,0,20110110,20110331
35608,0,0,0,0,0,0,1,20110110,20110331
35609,0,0,0,0,0,0,1,20110110,20110331
35610,0,0,1,1,1,1,0,20110110,20110331
35611,0,1,1,1,1,1,0,20110110,20110331
35612,0,1,1,1,1,1,0,20110110,20110331
35613,1,0,0,0,0,0,0,20110110,20110331
35614,1,0,0,0,0,0,0,20110110,20110331
35615,1,0,0,0,0,0,0,20110110,20110331
35616,0,1,0,0,0,0,0,20110110,20110331
35617,0,1,0,0,0,0,0,20110110,20110331
35618,1,0,1,1,1,0,0,20110110,20110331
35619,1,0,1,1,1,0,0,20110110,20110331
35620,0,0,1,0,0,0,0,20110110,20110331
35621,0,0,1,0,0,0,0,20110110,20110331
35622,1,1,0,1,1,0,0,20110110,20110331
35623,1,1,0,1,1,0,0,20110110,20110331
35624,0,0,0,1,0,0,0,20110110,20110331
35625,0,0,0,1,0,0,0,20110110,20110331
35626,1,1,1,0,1,0,0,20110110,20110331
35627,1,1,1,0,1,0,0,20110110,20110331
35628,0,1,1,0,0,0,0,20110110,20110331
35629,0,1,1,0,0,0,0,20110110,20110331
35630,1,0,0,1,1,0,0,20110110,20110331
35631,1,0,0,1,1,0,0,20110110,20110331
35632,1,1,0,0,1,0,0,20110110,20110331
35633,1,1,0,0,1,0,0,20110110,20110331
102101,1,1,1,1,1,0,0,20110110,20110331
102102,1,1,1,1,0,0,0,20110110,20110331
102103,0,1,1,1,1,0,0,20110110,20110331
102104,0,1,1,1,1,0,0,20110110,20110331
102105,0,0,0,0,1,0,0,20110110,20110331
102106,0,0,0,0,0,1,0,20110110,20110331
102107,0,0,0,0,0,1,0,20110110,20110331
102108,0,0,0,0,0,0,1,20110110,20110331
102109,0,0,0,0,0,0,1,20110110,20110331
102110,0,0,1,1,1,1,0,20110110,20110331
102111,0,1,1,1,1,1,0,20110110,20110331
102112,0,1,1,1,1,1,0,20110110,20110331
102113,1,0,0,0,0,0,0,20110110,20110331
102114,1,0,0,0,0,0,0,20110110,20110331
102115,1,0,0,0,0,0,0,20110110,20110331
102116,0,1,0,0,0,0,0,20110110,20110331
102117,0,1,0,0,0,0,0,20110110,20110331
102118,1,0,1,1,1,0,0,20110110,20110331
102119,1,0,1,1,1,0,0,20110110,20110331
102120,0,0,1,0,0,0,0,20110110,20110331
102121,0,0,1,0,0,0,0,20110110,20110331
102122,1,1,0,1,1,0,0,20110110,20110331
102123,1,1,0,1,1,0,0,20110110,20110331
102124,0,0,0,1,0,0,0,20110110,20110331
102125,0,0,0,1,0,0,0,20110110,20110331
102126,1,1,1,0,1,0,0,20110110,20110331
102127,1,1,1,0,1,0,0,20110110,20110331
102128,0,1,1,0,0,0,0,20110110,20110331
102129,0,1,1,0,0,0,0,20110110,20110331
102130,1,0,0,1,1,0,0,20110110,20110331
102131,1,0,0,1,1,0,0,20110110,20110331
102132,1,1,0,0,1,0,0,20110110,20110331
102133,1,1,0,0,1,0,0,20110110,20110331
